scenario,selection_method,packets,delivered,lost,pdr,loss_ratio,average_delay,throughput_kbps,energy_consumed,network_lifetime_steps,seed
low_battery,kg_marl,1000,176,824,0.176,0.824,9.397727272727273,0.720896,235,540,42
relay_failure,static,1000,197,803,0.197,0.803,7.690355329949239,0.8069120000000001,225.88199999999847,699,42
relay_failure,baseline,1000,201,799,0.201,0.799,12.124378109452737,0.823296,228.98999999999867,756,42
relay_failure,contextual_kg,1000,199,801,0.199,0.801,11.482412060301508,0.815104,226.1339999999985,734,42
relay_failure,kg_marl,1000,200,800,0.2,0.8,10.85,0.8192,228.35999999999862,712,42
normal,static,1000,290,710,0.29,0.71,7.786206896551724,1.18784,183.63999999999544,1000,43
normal,baseline,1000,295,705,0.295,0.705,13.094915254237288,1.2083199999999998,189.17399999999313,1000,43
normal,contextual_kg,1000,294,706,0.294,0.706,14.333333333333334,1.204224,188.92599999999294,1000,43
normal,kg_marl,1000,294,706,0.294,0.706,14.081632653061224,1.204224,189.1379999999931,1000,43
high_mobility,static,1000,207,793,0.207,0.793,8.96135265700483,0.847872,180.79999999999552,919,43
high_mobility,baseline,1000,210,790,0.21,0.79,18.590476190476192,0.8601599999999999,185.74999999999272,919,43
high_mobility,contextual_kg,1000,209,791,0.209,0.791,15.669856459330143,0.8560639999999999,185.51599999999257,919,43
high_mobility,kg_marl,1000,211,789,0.211,0.789,16.80094786729858,0.864256,185.7579999999927,919,43
high_congestion,static,1000,213,787,0.213,0.787,8.511737089201878,0.872448,229.4519999999987,874,43
high_congestion,baseline,1000,214,786,0.214,0.786,13.953271028037383,0.876544,233.65199999999885,874,43
high_congestion,contextual_kg,1000,213,787,0.213,0.787,13.0,0.872448,230.33399999999872,874,43
high_congestion,kg_marl,1000,214,786,0.214,0.786,13.177570093457945,0.876544,230.41799999999873,874,43
low_battery,static,1000,174,826,0.174,0.826,7.160919540229885,0.712704,235,563,43
low_battery,baseline,1000,175,825,0.175,0.825,9.72,0.7168,235,566,43
low_battery,contextual_kg,1000,173,827,0.173,0.827,9.554913294797688,0.7086079999999999,235,545,43
low_battery,kg_marl,1000,173,827,0.173,0.827,9.508670520231213,0.7086079999999999,235,540,43
relay_failure,static,1000,193,807,0.193,0.807,8.005181347150259,0.790528,225.88199999999847,699,43
relay_failure,baseline,1000,199,801,0.199,0.801,12.447236180904522,0.815104,228.98999999999867,756,43
