scenario,selection_method,runs,pdr_mean,pdr_std,loss_ratio_mean,loss_ratio_std,average_delay_mean,average_delay_std,throughput_kbps_mean,throughput_kbps_std,energy_consumed_mean,energy_consumed_std,network_lifetime_steps_mean,network_lifetime_steps_std
normal,static,10,0.2781,0.01872876575395897,0.7219,0.018728765753958997,8.043850175508016,0.4830970054187309,1.1390976,0.07671302452821595,183.63999999999544,0.0,1000.0,0.0
normal,baseline,10,0.2852,0.018237933606146884,0.7148,0.01823793360614689,15.55901587156782,1.2120609029884069,1.1681792,0.07470257605077765,189.17399999999313,0.0,1000.0,0.0
normal,contextual_kg,10,0.2835,0.018428540666887077,0.7165,0.018428540666887084,14.76710350131098,0.7795647732647888,1.161216,0.07548330257156947,188.92599999999294,0.0,1000.0,0.0
normal,kg_marl,10,0.2851,0.019122122150942226,0.7149,0.01912212215094223,14.665992098843589,0.8752113727609461,1.1677696,0.07832421233025935,189.1379999999931,0.0,1000.0,0.0
high_mobility,static,10,0.1993,0.014952145888355512,0.8007,0.014952145888355483,9.361660414241113,0.7867169405031167,0.8163328,0.061243989558704186,180.79999999999552,0.0,919.0,0.0
high_mobility,baseline,10,0.2043,0.014892578315687613,0.7957000000000001,0.014892578315687596,18.32985082359401,1.2907435913819465,0.8368128,0.06100000078105648,185.74999999999272,0.0,919.0,0.0
high_mobility,contextual_kg,10,0.2043,0.014735067771212395,0.7957000000000001,0.014735067771212378,15.695983484478482,0.9620377936498322,0.8368128,0.06035483759088599,185.51599999999257,0.0,919.0,0.0
high_mobility,kg_marl,10,0.2048,0.01435889194115541,0.7952,0.014358891941155423,16.59093546087589,1.0042728262413831,0.8388608,0.058814021390972575,185.7579999999927,0.0,919.0,0.0
high_congestion,static,10,0.2129,0.014563653387800737,0.7871,0.014563653387800754,8.650811775852539,0.4594223752981665,0.8720384,0.059652724276431826,229.4519999999987,0.0,874.0,0.0
high_congestion,baseline,10,0.2142,0.015090836071382308,0.7858,0.015090836071382318,14.060865777906326,0.8761292370123718,0.8773632,0.06181206454838193,233.65199999999885,0.0,874.0,0.0
high_congestion,contextual_kg,10,0.2136,0.014833895120447778,0.7864,0.014833895120447792,13.428897365648014,0.8890415218894726,0.8749056000000001,0.06075963441335409,230.33399999999872,0.0,874.0,0.0
high_congestion,kg_marl,10,0.2141,0.01504400951283341,0.7859,0.015044009512833426,13.662273031755376,0.7261604561378605,0.8769536,0.06162026296456565,230.41799999999873,0.0,874.0,0.0
low_battery,static,10,0.1775,0.012929294902146313,0.8225,0.012929294902146284,7.0482906600966455,0.40100196981024383,0.72704,0.05295839191919129,235.0,0.0,563.0,0.0
low_battery,baseline,10,0.1775,0.013360389215887386,0.8225,0.013360389215887357,9.450113546349685,0.6007442780416774,0.72704,0.05472415422827472,235.0,0.0,566.0,0.0
low_battery,contextual_kg,10,0.1758,0.012778454088382086,0.8241999999999999,0.012778454088382067,9.452814446714758,0.7883646707170963,0.7200768,0.05234054794601302,235.0,0.0,545.0,0.0
low_battery,kg_marl,10,0.1745,0.012937885796716899,0.8255,0.01293788579671688,9.626852066110887,0.6437289174964277,0.714752,0.05299358022335243,235.0,0.0,540.0,0.0
relay_failure,static,10,0.19419999999999998,0.014022204613477236,0.8058,0.014022204613477194,7.903630403414329,0.5565653086747984,0.7954432,0.057434950096802766,225.88199999999847,0.0,699.0,0.0
relay_failure,baseline,10,0.1993,0.012789318459818984,0.8007,0.012789318459818967,12.255287037134224,0.659883701270553,0.8163328,0.05238504841141856,228.98999999999867,0.0,756.0,0.0
relay_failure,contextual_kg,10,0.1971,0.013803783700291904,0.8029,0.013803783700291864,11.424347313836492,0.7798958617948564,0.8073216,0.056540298036395646,226.1339999999985,0.0,734.0,0.0
relay_failure,kg_marl,10,0.1963,0.01353226596776099,0.8037,0.013532265967760948,11.08895118217621,1.1290944967858778,0.8040448,0.05542816140394902,228.35999999999862,0.0,712.0,0.0
