subject,predicate,object
State:R2:T2,HAS_BATTERY,61.0
State:R2:T2,HAS_QUEUE_LENGTH,6
State:R2:T2,HAS_MOBILITY,0.26
State:R2:T2,HAS_LINK_STABILITY,0.88
State:R2:T2,HAS_HOP_COUNT,2
State:R2:T2,HAS_SCORE,0.6579
State:R2:T2,SELECTED,False
State:R2:T2,AVAILABLE,True
State:R2:T2,HAS_CONTEXT,SUFFICIENT_BATTERY
State:R2:T2,HAS_CONTEXT,STABLE_LINK
State:R2:T2,HAS_CONTEXT,LOW_MOBILITY
State:R2:T2,HAS_RECOMMENDATION,PREFER
State:R2:T2,HAS_CONTEXTUAL_SCORE,0.6965
State:R2:T2,HAS_REASON,sufficient battery
State:R2:T2,HAS_REASON,stable link
State:R2:T2,HAS_REASON,low mobility
Relay:R3,HAS_STATE,State:R3:T2
State:R3:T2,HAS_RSSI,-79.07250082881328
State:R3:T2,HAS_BATTERY,86.0
State:R3:T2,HAS_QUEUE_LENGTH,10
State:R3:T2,HAS_MOBILITY,0.66
State:R3:T2,HAS_LINK_STABILITY,0.6599999999999999
State:R3:T2,HAS_HOP_COUNT,3
State:R3:T2,HAS_SCORE,0.5702
State:R3:T2,SELECTED,False
State:R3:T2,AVAILABLE,True
State:R3:T2,HAS_CONTEXT,SUFFICIENT_BATTERY
State:R3:T2,HAS_RECOMMENDATION,PREFER
State:R3:T2,HAS_CONTEXTUAL_SCORE,0.5933
State:R3:T2,HAS_REASON,sufficient battery
Relay:R1,HAS_STATE,State:R1:T3
State:R1:T3,HAS_RSSI,-73.11753861055755
State:R1:T3,HAS_BATTERY,74.0
State:R1:T3,HAS_QUEUE_LENGTH,8
State:R1:T3,HAS_MOBILITY,0.39
State:R1:T3,HAS_LINK_STABILITY,0.7899999999999999
State:R1:T3,HAS_HOP_COUNT,2
State:R1:T3,HAS_SCORE,0.649
State:R1:T3,SELECTED,True
State:R1:T3,AVAILABLE,True
State:R1:T3,HAS_CONTEXT,SUFFICIENT_BATTERY
State:R1:T3,HAS_CONTEXT,STABLE_LINK
State:R1:T3,HAS_RECOMMENDATION,PREFER
State:R1:T3,HAS_CONTEXTUAL_SCORE,0.6737
State:R1:T3,HAS_REASON,sufficient battery
State:R1:T3,HAS_REASON,stable link
Relay:R2,HAS_STATE,State:R2:T3
State:R2:T3,HAS_RSSI,-75.88831725594207
State:R2:T3,HAS_BATTERY,59.0
State:R2:T3,HAS_QUEUE_LENGTH,8
State:R2:T3,HAS_MOBILITY,0.29000000000000004
State:R2:T3,HAS_LINK_STABILITY,0.86
State:R2:T3,HAS_HOP_COUNT,2
State:R2:T3,HAS_SCORE,0.6315
State:R2:T3,SELECTED,False
State:R2:T3,AVAILABLE,True
State:R2:T3,HAS_CONTEXT,STABLE_LINK
State:R2:T3,HAS_CONTEXT,LOW_MOBILITY
State:R2:T3,HAS_RECOMMENDATION,PREFER
State:R2:T3,HAS_CONTEXTUAL_SCORE,0.6643
State:R2:T3,HAS_REASON,stable link
State:R2:T3,HAS_REASON,low mobility
Relay:R3,HAS_STATE,State:R3:T3
State:R3:T3,HAS_RSSI,-79.16032610188569
State:R3:T3,HAS_BATTERY,84.0
State:R3:T3,HAS_QUEUE_LENGTH,11
State:R3:T3,HAS_MOBILITY,0.6900000000000001
State:R3:T3,HAS_LINK_STABILITY,0.6399999999999999
State:R3:T3,HAS_HOP_COUNT,3
State:R3:T3,HAS_SCORE,0.5513
State:R3:T3,SELECTED,False
State:R3:T3,AVAILABLE,True
State:R3:T3,HAS_CONTEXT,SUFFICIENT_BATTERY
State:R3:T3,HAS_RECOMMENDATION,PREFER
State:R3:T3,HAS_CONTEXTUAL_SCORE,0.5711
State:R3:T3,HAS_REASON,sufficient battery
Relay:R1,HAS_STATE,State:R1:T4
State:R1:T4,HAS_RSSI,-73.51216345339341
State:R1:T4,HAS_BATTERY,72.0
State:R1:T4,HAS_QUEUE_LENGTH,9
State:R1:T4,HAS_MOBILITY,0.42000000000000004
State:R1:T4,HAS_LINK_STABILITY,0.7699999999999999
State:R1:T4,HAS_HOP_COUNT,2
State:R1:T4,HAS_SCORE,0.6289
State:R1:T4,SELECTED,True
State:R1:T4,AVAILABLE,True
State:R1:T4,HAS_CONTEXT,SUFFICIENT_BATTERY
State:R1:T4,HAS_CONTEXT,STABLE_LINK
State:R1:T4,HAS_RECOMMENDATION,PREFER
State:R1:T4,HAS_CONTEXTUAL_SCORE,0.6507
State:R1:T4,HAS_REASON,sufficient battery
State:R1:T4,HAS_REASON,stable link
Relay:R2,HAS_STATE,State:R2:T4
State:R2:T4,HAS_RSSI,-76.0042832573213
State:R2:T4,HAS_BATTERY,57.0
State:R2:T4,HAS_QUEUE_LENGTH,10
State:R2:T4,HAS_MOBILITY,0.32000000000000006
State:R2:T4,HAS_LINK_STABILITY,0.84
State:R2:T4,HAS_HOP_COUNT,2
State:R2:T4,HAS_SCORE,0.605
State:R2:T4,SELECTED,False
State:R2:T4,AVAILABLE,True
State:R2:T4,HAS_CONTEXT,STABLE_LINK
