scenario,protocol,pdr_percent_mean,pdr_percent_std,loss_ratio_percent_mean,loss_ratio_percent_std,average_delay_ms_mean,average_delay_ms_std,average_jitter_ms_mean,average_jitter_ms_std,throughput_kbps_mean,throughput_kbps_std,energy_consumed_j_mean,energy_consumed_j_std,network_lifetime_s_mean,network_lifetime_s_std
high_congestion,AODV,10.307100000000002,10.192173156670542,89.6929,10.19217315667054,11.8491,19.582978535509408,1.3581999999999999,2.4062497699855587,74.6802,73.84788975966445,1966.0097,0.2191103476434546,120.0,0.0
high_congestion,DSR,8.5614,8.230099921089117,91.4386,8.230099921089119,21.016,29.636000029993554,13.5534,20.832556663922833,62.0314,59.631541810614884,1965.7684000000002,0.20779113444890338,120.0,0.0
high_congestion,OLSR,7.9228,7.25382671116119,92.07719999999999,7.253826711161192,1.7782,2.053561448367743,0.9316000000000001,1.1389051467674267,57.4048,52.55761928440485,1966.6174999999998,1.0862853369779546,120.0,0.0
high_mobility,AODV,7.8483,3.8099727630989113,92.1517,3.809972763098912,598.3591,450.77108041504226,42.626799999999996,25.85740319435723,14.2126,6.899580360830329,1966.0268,0.2597378165252846,120.0,0.0
high_mobility,DSR,5.0565,2.2948357118635845,94.9435,2.2948357118635854,858.742,517.5632478704629,319.0575,186.71295567037296,9.1564,4.155824859960615,1965.6615000000002,0.046980492405542904,120.0,0.0
high_mobility,OLSR,4.1021,3.040544558316998,95.8979,3.040544558317001,3.1579,1.886015167253729,3.3930999999999996,2.063984681790702,7.428399999999999,5.505786616521445,1966.7552,0.9107277675939021,120.0,0.0
low_battery,AODV,10.4762,10.711811474567066,89.5238,10.711811474567067,85.4865,135.4488595762253,19.230800000000002,42.78985088078715,18.9714,19.39805506974575,744.2421,2.982951537953272,13.597,0.3246943862225592
low_battery,DSR,6.759600000000001,7.999039639578964,93.2404,7.999039639578965,124.30990000000001,148.04183781129052,47.9356,58.659635175590154,12.241,14.485524575320778,757.0,0.48649905789560255,13.847999999999999,0.320444136230395
low_battery,OLSR,7.990599999999999,7.366790937111701,92.0094,7.366790937111704,3.7794,4.84021427900322,3.7581,5.179460191735986,14.470099999999999,13.340430065114926,744.8235999999999,2.842867769622007,13.625800000000002,0.24618908722091382
normal,AODV,10.4762,10.711811474567066,89.5238,10.711811474567067,85.4865,135.4488595762253,19.230800000000002,42.78985088078715,18.9714,19.39805506974575,1965.8781999999999,0.08847071078422714,120.0,0.0
normal,DSR,9.1859,8.544962199383265,90.8141,8.544962199383264,234.2358,290.55233312618,88.4551,112.36247086643793,16.634999999999998,15.474378012989371,1965.6709999999998,0.08874557891958149,120.0,0.0
normal,OLSR,7.990599999999999,7.366790937111701,92.0094,7.366790937111704,3.7794,4.84021427900322,3.7581,5.179460191735986,14.470099999999999,13.340430065114926,1966.5687999999998,1.1894930572867646,120.0,0.0
relay_failure,AODV,10.3794,10.730689686854037,89.6206,10.730689686854038,85.5438,135.41169499369937,19.274,42.774375179539454,18.7961,19.432247507972697,1965.8701,0.08667493550292353,120.0,0.0
relay_failure,DSR,9.0931,8.548310105252124,90.9069,8.54831010525212,237.62520000000004,291.69191108953754,89.5246,112.49353178758521,16.4668,15.480450501627313,1965.6705000000002,0.08860053925088647,120.0,0.0
relay_failure,OLSR,7.8977,7.385747672225052,92.1023,7.385747672225054,3.7832999999999997,4.837609351046582,3.7640000000000002,5.1752987890126265,14.3019,13.37475051023798,1966.5598999999997,1.1933862604649805,120.0,0.0
