scenario,metric,rank,protocol,mean,std
relay_failure,average_jitter_ms,2,AODV,19.274,42.774375179539454
relay_failure,average_jitter_ms,3,DSR,89.5246,112.49353178758521
relay_failure,throughput_kbps,1,AODV,18.7961,19.432247507972697
relay_failure,throughput_kbps,2,DSR,16.4668,15.480450501627313
relay_failure,throughput_kbps,3,OLSR,14.3019,13.37475051023798
relay_failure,energy_consumed_j,1,DSR,1965.6705000000002,0.08860053925088647
relay_failure,energy_consumed_j,2,AODV,1965.8701,0.08667493550292353
relay_failure,energy_consumed_j,3,OLSR,1966.5598999999997,1.1933862604649805
relay_failure,network_lifetime_s,1,AODV,120.0,0.0
relay_failure,network_lifetime_s,2,DSR,120.0,0.0
relay_failure,network_lifetime_s,3,OLSR,120.0,0.0
